  0.00  1.000  1.000
  0.20  0.990  0.977
  0.40  0.960  0.910
  0.61  0.910  0.804
  0.81  0.843  0.665
  1.01  0.761  0.503
  1.21  0.665  0.329
  1.41  0.559  0.155
  1.62  0.446 -0.010
  1.82  0.329 -0.154
  2.02  0.212 -0.270
  2.22  0.098 -0.351
  2.42 -0.010 -0.395
  2.63 -0.109 -0.400
  2.83 -0.196 -0.370
  3.03 -0.270 -0.310
  3.23 -0.328 -0.226
  3.43 -0.370 -0.127
  3.64 -0.395 -0.022
  3.84 -0.403  0.078
  4.04 -0.394  0.167
  4.24 -0.370  0.237
  4.44 -0.333  0.282
  4.65 -0.284  0.300
  4.85 -0.226  0.290
  5.05 -0.161  0.255
  5.25 -0.092  0.199
  5.45 -0.022  0.127
  5.66  0.046  0.046
  5.86  0.110 -0.036
  6.06  0.167 -0.112
  6.26  0.216 -0.176
  6.46  0.254 -0.221
  6.67  0.282 -0.246
  6.87  0.297 -0.248
  7.07  0.300 -0.227
  7.27  0.290 -0.187
  7.47  0.270 -0.131
  7.68  0.239 -0.064
  7.88  0.199  0.006
  8.08  0.152  0.074
  8.28  0.101  0.134
  8.48  0.046  0.180
  8.69 -0.009  0.209
  8.89 -0.062  0.218
  9.09 -0.112  0.208
  9.29 -0.156  0.179
  9.49 -0.193  0.134
  9.70 -0.221  0.079
  9.90 -0.240  0.017
 10.10 -0.249 -0.045
 10.30 -0.248 -0.102
 10.51 -0.236 -0.148
 10.71 -0.216 -0.180
 10.91 -0.187 -0.195
 11.11 -0.151 -0.193
 11.31 -0.109 -0.173
 11.52 -0.064 -0.138
 11.72 -0.017 -0.090
 11.92  0.029 -0.036
 12.12  0.074  0.021
 12.32  0.115  0.075
 12.53  0.151  0.121
 12.73  0.180  0.156
 12.93  0.201  0.176
 13.13  0.214  0.179
 13.33  0.218  0.167
 13.54  0.214  0.140
 13.74  0.200  0.100
 13.94  0.179  0.052
 14.14  0.151 -0.000
 14.34  0.117 -0.051
 14.55  0.079 -0.097
 14.75  0.038 -0.134
 14.95 -0.004 -0.158
 15.15 -0.045 -0.167
 15.35 -0.084 -0.161
 15.56 -0.118 -0.141
 15.76 -0.148 -0.108
 15.96 -0.171 -0.065
 16.16 -0.187 -0.018
 16.36 -0.195  0.031
 16.57 -0.196  0.076
 16.77 -0.188  0.114
 16.97 -0.173  0.141
 17.17 -0.151  0.155
 17.37 -0.123  0.155
 17.58 -0.090  0.141
 17.78 -0.055  0.114
 17.98 -0.017  0.077
 18.18  0.021  0.033
 18.38  0.057 -0.012
 18.59  0.091 -0.057
 18.79  0.121 -0.095
 18.99  0.146 -0.125
 19.19  0.164 -0.143
 19.39  0.176 -0.148
 19.60  0.180 -0.139
 19.80  0.177 -0.118
 20.00  0.167 -0.086
