  3.6809  -1.6855
  3.4113  -2.5989
  6.1388  -1.1057
  6.6905  -3.0042
  4.2529  -2.8094
  5.1454  -3.0875
  3.9350  -4.0445
  3.2732  -1.9629
  4.9073  -2.1806
  3.4903  -3.2877
  4.6420  -4.0957
  4.9450  -2.2720
  5.6042  -2.3159
  5.4785  -1.7802
  4.3201  -2.5757
  6.0152  -3.6058
  4.6325  -2.4955
  5.2837  -1.5283
  5.9725  -2.3118
  4.8786  -2.6966
  4.1529  -2.5989
  5.2466  -2.1896
  3.7909  -2.7588
  6.4091  -2.6146
  5.1255  -2.6408
  5.2587  -3.6832
  5.0522  -1.7309
  4.4086  -4.7690
  5.6715  -2.2276
  4.2363  -1.6659
  5.9113  -3.9414
  3.4495  -2.9282
  4.7270  -1.6525
  4.4437  -3.8136
  5.8560  -3.2367
  5.8151  -1.9001
  4.4727  -2.6545
  3.6586  -3.6167
  6.2924  -3.9409
  3.8454  -4.1735
